safegraph_place_id,latitude,longitude,city,postal_code,community
sg:6e4f7e01effd46fdb8e69cbe3b444583,33.953043,-118.28713700000002,Los Angeles,90044,South Los Angeles
sg:6fdad0ad4f804b1dae340d904363b5e5,34.033237,-118.45165700000001,Los Angeles,90064,Rancho Park
sg:712021b200274b69be464a7915d07b00,34.19692,-118.381578,North Hollywood,91605,Hollywood
sg:717341881b9b488e8f3d73e5f5f402d1,34.025014,-118.28390700000001,Los Angeles,90007,University Park
sg:717ad57d97c64224bae82f7bc9613a95,34.141126,-118.02238500000001,Arcadia,91006,Arcadia
sg:74e74fb1cd2f4b60b8ecd0e4e134af4f,34.018555,-118.192495,Los Angeles,90023,Commerce
sg:75843e23b45e4058a36b972f2d7951d4,34.130495,-118.262731,Glendale,91204,Glendale
sg:76ca38e56f7c42148b6799004c21f34b,34.065707,-118.210489,Los Angeles,90031,Lincoln Heights
sg:79b9a59049aa457c81de304eaa3398cc,33.918996,-118.402794,El Segundo,90245,El Segundo
sg:7cffa1d1b95b4c0fbb46dcc476dc4c2d,34.001666,-118.45817199999999,Venice,90291,Venice
sg:7dcd26edc3514a9489d7c945428e7f2e,33.937945,-118.04221499999998,Whittier,90605,Whittier
sg:7f8eb528c97e4657b4bd95eb8beb0490,33.884919000000004,-118.10031799999999,Cerritos,90703,Cerritos
sg:7fc24366fdf94768a5ef7e8a72a90d48,33.997296,-118.234793,Vernon,90058,Vernon
sg:81e1c57ca95e4049bad424957eecdb78,34.206509999999994,-118.231426,Montrose,91020,missing
sg:821634991c9b46f783358d8b68dbe6b2,34.37944,-118.568151,Newhall,91381,Stevenson Ranch
sg:83ce743e86b74aefa68cf40527a8cf70,34.117048,-118.15358400000001,South Pasadena,91030,South Pasadena
sg:83ef8ef85b0541e39227a989f5159704,34.426481,-118.424353,Canyon Country,91387,Santa Clarita
sg:8412487668734b0fa764b28370933d63,34.148049,-118.76738600000002,Agoura Hills,91301,Agoura Hills
sg:84b6fd2596b14eb581a28b7781752f5f,34.169734000000005,-118.361853,North Hollywood,91601,Toluca Terrace
sg:858c47e59c454129ac80351a7e2e124d,33.804433,-118.350798,Torrance,90505,Torrance
sg:85b9f3560b884f1982e53b531bc07685,34.675214000000004,-118.15272900000001,Lancaster,93534,Lancaster
sg:862b76a1e35546cab9c4d55afdd44ebb,34.068104999999996,-117.93216899999999,West Covina,91790,Covina
sg:8831b37473e5418989ed88eff4813d9b,34.274008,-118.43283999999998,Pacoima,91331,Pacoima
sg:8895f28dd8a240609016e16f2c7c9070,34.0565,-117.798275,Pomona,91768,Pomona
sg:8998822425b246a3aed2aa74e72e41ea,33.946628000000004,-118.390809,Los Angeles,90045,Westchester
sg:8c90c0c4d38440c8bd368d295842f736,34.12962,-118.029352,Arcadia,91006,Arcadia
sg:90a2dd6194074ed88221b8508618f1f6,34.186025,-118.44820700000001,Van Nuys,91401,Valley Glen
sg:932043630f084ed7861a11210f975d96,34.030122999999996,-118.462556,Santa Monica,90404,Santa Monica
sg:94021b58a3164d18a027b476cacca57c,34.114606,-117.908197,Azusa,91702,Azusa
sg:973b93e828484d9694df91b47f5969b3,33.818564,-118.385953,Redondo Beach,90277,Redondo Beach
sg:9795a7a9300943ae8577315bfc5ce580,34.067308000000004,-118.38597299999999,Beverly Hills,90211,Beverly Hills
sg:98caacb90eec4d2284b3286fcbf5a872,33.970304999999996,-118.062316,Whittier,90606,Whittier
sg:9b2fc66cbd1740cc9539350cd6154c31,34.119007,-117.90815400000001,Azusa,91702,Azusa
sg:9d5c30a0a91c4488b86391aac6aafb13,34.231528999999995,-118.43688999999999,Arleta,91331,Pacoima
sg:a0180c251a154d5e84b4d00027047f36,34.133379,-117.92184099999999,Azusa,91702,Azusa
sg:a13a268914614defa4dea5ffd20e2409,34.051961,-118.47213300000001,Los Angeles,90049,Brentwood
sg:a43a1da6b7044aa6be207fb3c63929a6,34.024745,-117.89408300000001,Walnut,91789,Walnut
sg:a819d3947af24e26a70f6c67496f8fef,34.039698,-118.29871299999999,Los Angeles,90007,University Park
sg:a92911d79ce344c4afe85dc8563c41c0,34.170497999999995,-118.53965,Tarzana,91356,Tarzana
sg:a973acff3d31459eb6824fee2a78d60e,34.079772999999996,-118.05323600000001,El Monte,91731,El Monte
sg:a97851243ddc49a4ac568c984821cfbe,34.27088,-118.29053,Tujunga,91042,Tujunga
sg:aa0cf610150948ecbf96d27ecb3a1df6,34.021213,-118.30870800000001,Los Angeles,90018,Jefferson Park
sg:aa81c56439ac46b3b586497446d57bb1,34.16888,-118.11183100000001,Pasadena,91104,Pasadena
sg:aade46d9bfd34b14bb6688f0e22b359c,34.177746,-118.44838899999999,Van Nuys,91401,Valley Glen
sg:ac2c0fb83d324d29875d5b4213846efd,34.143538,-118.142498,Pasadena,91101,Pasadena
sg:ace3b55339604a5a969285a417954003,34.198924,-118.188928,La Canada,91011,missing
sg:aeaeccb53b2b44919578cdf3ea2657ad,33.916698,-118.25395800000001,Los Angeles,90059,Willowbrook
sg:b0f3e57ceb0541a7b70ae1c0f2e6f33f,34.116369,-118.26213700000001,Los Angeles,90039,Atwater Village
sg:b79d3eb468e24d7da3aa7f8be3c004dc,34.05291,-118.251873,Los Angeles,90071,Downtown Bunker Hill
sg:b8993fb5138646ddb13f5d02d358516f,34.103933000000005,-117.945493,Baldwin Park,91706,Baldwin Park
sg:bc39691bbe2e45f987b2effbce1a884a,34.10035,-118.25413600000002,Los Angeles,90039,Atwater Village
sg:bfd1c0978ba3435398cc56428f36dde5,33.82266,-118.38519199999999,Redondo Beach,90277,Redondo Beach
sg:c247392cdd1544938ab1d840ba857c90,34.143336,-118.69913700000001,Calabasas,91302,Hidden Hills
sg:c24f51de867a4023afe3c765504411cd,33.829995000000004,-118.385603,Redondo Beach,90277,Redondo Beach
sg:c89911457d324a3c9824925d93b6fe90,34.070554,-117.93315,West Covina,91790,Covina
sg:cabed0c5dfbf4d5986f195395532ee9e,33.903512,-118.158308,Paramount,90723,Paramount
sg:cb99a0b1aa86476c829834cbfdc408b7,33.872655,-118.110883,Bellflower,90706,Bell
sg:cde9cebf18394527957c6e1f31617f51,34.049398,-118.258518,Los Angeles,90017,South Park
sg:ce1c7a2470fc459fa69c51d39e4c7955,34.034594,-118.45014099999999,Los Angeles,90025,San Pedro
sg:cfb7eb59aa2840d79d4063e92a10ec69,33.916746999999994,-117.963071,La Habra,90631,La Habra Heights
sg:d0682b4529fe4aa1911efdd142ca46ef,34.033664,-118.24103000000001,Los Angeles,90021,Downtown
sg:d168bcf953c84e7a8baf7d08f91612d7,33.873999,-118.20211100000002,Long Beach,90805,missing
sg:d2f07a96fcaf40358dc9ef306f211894,33.811253,-118.26461599999999,Carson,90745,Carson
sg:d8d194dbe04d4b868a1b8ee8d24204e2,33.768433,-118.19266100000002,Long Beach,90802,missing
sg:da7bee01d26248d0ad7571012341a6ce,33.986562,-117.879526,Rowland Heights,91748,Rowland Heights
sg:dcfc6cd385f34ba8b82a846a052434e5,33.895051,-118.223793,Compton,90220,Compton
sg:df7375a3c7134837b0912a3841a2841e,34.047202,-118.25348000000001,Los Angeles,90014,Downtown Historic Core
sg:e0248b526bf2411c9719ec7cd1647e74,34.142303000000005,-118.26639499999999,Glendale,91204,Glendale
sg:e0d5789a36a3491584a37ecd8d6642e6,34.09725,-118.32846699999999,Los Angeles,90028,Hollywood
sg:e21e8af2d73744f298af9199316d248f,33.851833,-118.289594,Torrance,90502,Harbor Gateway
sg:e56cb9db484241fd85a37047994a3e64,34.145506,-118.24036000000001,Glendale,91205,Glendale
sg:e673ebf5fd604f4a9f9b6b832545df80,34.15081,-118.074797,Pasadena,91107,Pasadena
sg:e7254e15061d4aae9fc11a38f14525a9,34.16297,-118.82148600000001,Westlake Village,91362,Westlake Village
sg:e8382a5638d64fa5890a1dd6e636a73b,33.823845,-118.32909199999999,Torrance,90501,Torrance
sg:e98ece85a8c74af2a0325e22b2c4bc2a,33.849028000000004,-118.081777,Cerritos,90703,Cerritos
sg:ea3e610729274a32b04501c803b14e88,34.220451000000004,-118.43332,Panorama City,91402,Panorama City
sg:edc00d606999443dab80d17896a2f40a,34.06643,-118.12333400000001,Monterey Park,91754,Monterey Park
sg:eed7a0df94f74915b99b48a0dfd24c5e,33.984482,-118.403764,Culver City,90230,Culver City
sg:f029116959fb415483ab80b8e592b525,34.221693,-118.47603600000001,North Hills,91343,North Hills
sg:f2e8d838746c4ca8b8162719d830180d,34.052942,-118.30165900000001,Los Angeles,90006,Koreatown
sg:fbf73c96fcce4e54b51ab1d432f2c668,34.131946,-117.819682,Glendora,91741,Glendora
sg:fc616eb1c40345c2b99769a5f7d47949,34.138787,-118.146929,Pasadena,91105,Pasadena
sg:fc6e335737da4f44af55d633f66e98e7,34.095444,-118.30081100000001,Los Angeles,90029,East Hollywood
sg:fc987653de684a3b83d67f2c38859c4d,33.819333,-118.38741,Redondo Beach,90277,Redondo Beach
sg:ff29dbea2a634bb18909d57043e1c461,33.875265,-118.15158999999998,Long Beach,90805,missing
sg:00dca9082d254dc4bb96e0185f868ad7,33.978521,-118.33108600000001,Los Angeles,90043,Hyde Park
sg:0565632adce84934b0fb9e9fee05ad86,34.192274,-118.160665,Altadena,91001,Altadena
sg:06e41c984f3441989b4a17d3255ef6a8,33.759797999999996,-118.146827,Long Beach,90803,missing
sg:0a0f4e5ae7b74274bea4dca85ff9e425,34.225496,-118.58207900000001,Canoga Park,91306,Winnetka
sg:0c2787514449451d93aa355ac4835c25,34.069952,-118.29217,Los Angeles,90004,Hancock Park
sg:0cd24deb7d124d0eb8a5897c0341606a,34.086533,-118.27510500000001,Los Angeles,90026,Echo Park
sg:0eb6bc4400424e618d6c6be821fc4eea,34.077537,-117.911622,West Covina,91791,Covina
sg:129a5a9c542248c384e469912b4e148d,34.066876,-118.407482,Beverly Hills,90212,Beverly Hills
